sites,ya,yb,na,nb
aus,29,4,49,40
badaniaon,13,3,18,16
bc,29,5,39,34
bilgi,48,10,70,68
brasilia,35,9,51,51
cas,14,0,36,31
castab,16,4,32,34
doshisha,27,3,54,58
eindhoven,45,10,54,39
eindhoventab,5,0,5,5
elte,32,1,47,44
eltetab,37,4,51,38
fmkbelgrade,6,1,10,16
grazvienna,35,7,57,62
hawaiion,29,14,46,43
henan,4,0,7,10
hkust,19,6,43,54
hkusttab,5,0,14,14
hunancomp,30,8,61,57
ithaca,29,5,37,39
johannesburg,15,2,25,25
johannesburgother,8,1,10,10
koc,29,6,37,37
lausanne,39,4,54,55
leuven,32,7,52,54
lundon,50,6,55,55
marian,23,10,32,45
marianipad,12,5,13,14
mariantab,10,1,14,10
mturk,116,42,160,144
mturk_india,117,54,162,146
navarra,14,4,24,24
ntnu,15,7,34,40
ntnutab,15,4,20,25
occid,27,7,30,36
occidtab,35,9,41,36
ouhktab,7,2,16,20
plu,33,11,42,53
poitiers,14,4,20,24
potsdam,30,5,45,44
pscio,21,7,42,42
psuabington,31,7,50,38
psuabingtontab,34,7,47,31
psumain,29,9,38,43
purkyne,49,16,74,66
sandiegosu,68,13,85,86
santiagoon,21,5,29,30
swps,25,5,48,47
tamu,44,10,54,42
tilburg,44,6,52,43
tilburgcaf,36,5,40,38
tilburgcomm,33,1,41,57
toronto,114,30,166,159
tufts,28,11,36,43
ubc,27,8,39,37
ubctab,21,5,31,40
ucron,47,6,64,33
udd,35,6,46,48
ufl,47,13,56,57
uiuc,66,16,92,106
umich,33,5,43,41
unam,56,9,73,66
unibelgrade,28,4,42,38
uniporto,12,3,15,21
uva,38,7,49,36
vuamsterdam,37,10,52,40
vuw,28,12,44,48
washlee,41,13,46,50
wilfredlaur,35,4,44,43
williampat,56,11,67,51
winchester,57,15,73,65
wpi,41,5,45,40
wroclaw,27,5,48,48
zhejiang,21,3,46,35
