sites,ya,yb,na,nb
aus,18,32,39,52
badaniaon,7,11,18,20
bc,23,20,39,37
bilgi,51,54,74,79
brasilia,23,24,55,48
cas,12,15,35,34
castab,13,18,33,33
doshisha,30,26,57,57
eindhoven,20,29,38,60
eindhoventab,4,2,7,5
elte,17,22,41,53
eltetab,18,20,39,48
fmkbelgrade,6,10,12,14
grazvienna,27,30,60,64
hawaiion,22,27,49,52
henan,3,6,8,10
hkust,28,24,54,51
hkusttab,3,6,10,18
hunancomp,30,54,65,89
ithaca,28,22,41,37
johannesburg,1,7,15,37
johannesburgother,3,3,13,9
koc,33,35,45,42
lausanne,30,35,51,62
leuven,28,31,59,50
lundon,26,27,55,58
marian,18,22,37,42
marianipad,6,4,15,12
mariantab,7,6,13,13
mturk,49,52,163,168
mturk_india,45,47,188,171
navarra,20,14,33,21
ntnu,24,23,41,42
ntnutab,11,8,24,29
occid,23,16,39,28
occidtab,22,24,43,38
ouhktab,8,8,21,19
plu,19,30,48,48
poitiers,11,13,24,20
potsdam,15,22,42,50
pscio,9,17,41,45
psuabington,18,21,40,50
psuabingtontab,20,26,35,44
psumain,20,28,36,46
purkyne,34,50,57,83
sandiegosu,42,59,81,93
santiagoon,17,22,28,32
swps,18,20,45,51
tamu,22,32,46,53
tilburg,28,22,47,50
tilburgcaf,13,22,33,47
tilburgcomm,31,18,53,50
toronto,81,81,171,179
tufts,23,36,35,53
ubc,22,17,43,39
ubctab,17,18,39,36
ucron,19,12,57,46
udd,22,37,44,51
ufl,38,37,56,60
uiuc,57,72,101,104
umich,24,31,40,48
unam,13,14,71,73
unibelgrade,21,16,44,37
uniporto,6,11,15,21
uva,22,30,37,49
vuamsterdam,20,23,45,50
vuw,27,40,41,61
washlee,29,31,47,50
wilfredlaur,29,26,49,42
williampat,31,39,59,65
winchester,34,31,81,61
wpi,25,24,43,43
wroclaw,14,25,46,51
zhejiang,17,22,44,42
