sites,ya,yb,na,nb
amity,0,0,0,0
amityon,0,0,0,0
armstrong,15,10,41,43
aus2,56,57,85,94
badaniaon,9,13,16,27
bogota,27,19,47,55
brookcuny,42,31,82,99
carleton,29,14,58,63
cas,18,13,23,25
csunorthonline,24,11,45,43
fmkbelgrade,35,29,53,51
georgefox,33,14,78,62
grazvienna,23,17,48,54
hawaiion,33,22,65,56
help,36,28,41,49
isb,0,0,0,0
jmu,16,12,34,50
jos,48,28,57,35
kenyon,15,12,50,56
krakowon,44,31,50,49
kwazulu,35,21,43,34
louvain,29,20,54,46
loyola,73,52,149,144
lse,28,20,57,55
mcdanielonline,37,20,86,73
metu,20,17,56,69
moralsense,134,70,416,418
mturk,58,20,168,170
mturk_india,0,0,0,0
munich,28,12,47,37
munichon,32,20,111,103
northumbria,25,6,48,31
osnabruck,23,19,41,44
ouhk,20,20,31,37
padua,19,13,44,35
pascal,41,27,95,83
psualtoona,45,23,88,89
puc,25,29,41,40
queensland2,43,20,86,51
radboud,14,3,20,10
ritonline,26,12,43,43
rotterdam,19,10,36,41
salford,20,14,50,53
seznam,26,17,42,43
seznamon,21,21,45,73
simmons,13,9,42,54
swps,31,25,39,50
tamu,22,10,44,41
tamucc,19,12,47,42
tanzania,23,19,30,30
tanzaniaon,7,5,8,7
tilburg,27,20,41,54
tilburgcaf,25,14,39,42
ulatina,77,73,97,110
umich,17,10,45,41
uned,19,20,37,49
unswonline,18,13,46,51
vcu,23,9,48,48
vuw,15,11,55,45
westernkentucky,51,22,84,77
yale,51,23,137,145
