study.name,unique.id,site,alternative,N,p.value,OR,delta,d
Hauser.1,39,aus,two.sided,89,1.852277147e-06,1.264023927e+01, 2.536885318e+00, 1.398658180e+00
Hauser.1,39,badaniaon,two.sided,34,2.565425113e-03,1.031673768e+01, 2.333767594e+00, 1.286673510e+00
Hauser.1,39,bc,two.sided,73,3.696709466e-07,1.598549315e+01, 2.771681633e+00, 1.528108173e+00
Hauser.1,39,bilgi,two.sided,138,7.410769153e-11,1.236692796e+01, 2.515025809e+00, 1.386606401e+00
Hauser.1,39,brasilia,two.sided,102,3.121617908e-07,9.930879631e+00, 2.295649057e+00, 1.265657659e+00
Hauser.1,39,cas,two.sided,67,4.150189346e-05,            Inf,             Inf,             Inf
Hauser.1,39,castab,two.sided,66,1.088658653e-03,7.256213377e+00, 1.981858119e+00, 1.092655648e+00
Hauser.1,39,doshisha,two.sided,112,6.802473911e-08,1.783845422e+01, 2.881356477e+00, 1.588575084e+00
Hauser.1,39,eindhoven,two.sided,93,3.079634727e-08,1.394502963e+01, 2.635123146e+00, 1.452819533e+00
Hauser.1,39,eindhoventab,two.sided,10,7.936507937e-03,            Inf,             Inf,             Inf
Hauser.1,39,elte,two.sided,91,5.195006875e-12,8.660338337e+01, 4.461338884e+00, 2.459665039e+00
Hauser.1,39,eltetab,two.sided,89,2.723895315e-09,2.148798580e+01, 3.067493979e+00, 1.691198067e+00
Hauser.1,39,fmkbelgrade,two.sided,26,5.290361812e-03,1.921899710e+01, 2.955899222e+00, 1.629672653e+00
Hauser.1,39,grazvienna,two.sided,119,9.194178702e-09,1.218935674e+01, 2.500563173e+00, 1.378632732e+00
Hauser.1,39,hawaiion,two.sided,89,5.711308693e-03,3.480435834e+00, 1.247157525e+00, 6.875939809e-01
Hauser.1,39,henan,two.sided,17,1.470588235e-02,            Inf,             Inf,             Inf
Hauser.1,39,hkust,two.sided,97,3.430952206e-04,6.203518154e+00, 1.825116575e+00, 1.006239505e+00
Hauser.1,39,hkusttab,two.sided,28,4.074074074e-02,            Inf,             Inf,             Inf
Hauser.1,39,hunancomp,two.sided,118,6.095370708e-05,5.834151969e+00, 1.763728920e+00, 9.723947173e-01
